conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_file
1.94E+18,Fri Jun 20 18:32:52 +0000 2025,1,90 Persen Pekerja di Tambang Raja Ampat dari Luar Papua Anggota DPD Turut Sentil Ketua PBNU yang Jadi Komisaris. Jadi menurut saya kehadiran PT. Gag Nikel itu lebih untuk mengenyangkan orang lain dari pada asli Papua itu sendiri. https://t.co/uHgbL79143 https://t.co/2dZXLmq7dd,1.94E+18,https://pbs.twimg.com/media/Gt6EGbMXwAAvZPj.jpg,,in,,0,0,0,https://x.com/undefined/status/1936130143820693636,1.87E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:25:28 +0000 2025,0,sumber yang tersedia: Jumlah IUP di Raja Ampat (Hingga Juni 2025): Menurut data Kementerian Energi dan Sumber Daya Mineral (ESDM) dan laporan media terdapat lima IUP untuk tambang nikel di Raja Ampat sebelum pencabutan izin pada Juni 2025.,1.94E+18,,DarkMassacres,in,,0,0,0,https://x.com/undefined/status/1936082984047984885,1.72E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:25:20 +0000 2025,0,unggahan di X yang menyebutkan 2000 hektar tanah dibabat hanya untuk kepentingan oligarki di Raja Ampat. Angka ini mungkin merujuk pada luas lahan yang terdampak aktivitas tambang bukan jumlah IUP. Untuk kejelasan berikut adalah data terkait IUP di Raja Ampat berdasarkan,1.94E+18,,DarkMassacres,in,,0,0,0,https://x.com/undefined/status/1936082950443143638,1.72E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:25:02 +0000 2025,0,sumber web dan unggahan di platform X yang relevan. Saya juga akan menganalisis bagaimana penggundulan hutan dan aktivitas tambang tanpa izin bisa terjadi serta kinerja pemerintah dalam menangani isu ini. 1. Penjelasan IUP 2000 dalam Konteks Raja Ampat Konteks IUP 2000 ,1.94E+18,,DarkMassacres,in,,0,0,0,https://x.com/undefined/status/1936082874773721311,1.72E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:24:04 +0000 2025,0,tetapi kinerjanya dikritik sebagai setengah hati karena PT Gag Nikel masih beroperasi. Untuk mencegah kerusakan lebih lanjut diperlukan audit menyeluruh penegakan hukum yang konsisten dan perlindungan permanen untuk ekosistem Raja Ampat. Jika Anda memiliki informasi,1.94E+18,,DarkMassacres,in,,0,0,0,https://x.com/undefined/status/1936082631420207207,1.72E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:23:52 +0000 2025,0,Tidak ada data spesifik yang menyebutkan IUP 2000 sebagai jumlah izin di Raja Ampat tetapi kemungkinan merujuk pada luas lahan yang rusak (~2.000 hektar) akibat tambang seperti disebutkan dalam unggahan X. Hanya lima IUP resmi yang tercatat di Raja Ampat dengan empat di,1.94E+18,,DarkMassacres,in,,0,0,0,https://x.com/undefined/status/1936082579687637015,1.72E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:23:38 +0000 2025,0,korupsi timah PT Timah) juga menjadi sorotan. Rekomendasi: Pemerintah perlu melakukan audit menyeluruh terhadap semua IUP di pulau kecil seperti yang disarankan oleh Jimly Asshiddiqie. WALHI menuntut pencabutan semua IUP di Raja Ampat termasuk PT Gag Nikel untuk,1.94E+18,,DarkMassacres,in,,0,0,0,https://x.com/undefined/status/1936082521659523436,1.72E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:23:11 +0000 2025,0,Banyak perusahaan di Raja Ampat gagal memenuhi syarat ini seperti PT MRP yang tidak memiliki dokumen lingkungan lengkap atau PT ASP yang membuka lahan tanpa izin lingkungan yang memadai. 7. Rekomendasi dan Sentimen Publik Sentimen Publik di X: Gerakan #SaveRajaAmpat,1.94E+18,,,in,,0,7,0,https://x.com/undefined/status/1936082409763860768,1.72E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:18:20 +0000 2025,0,Meluruskan Sesat Pikir Pro Tambang Raja Ampat https://t.co/JmufwWv44L via @YouTube,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1936081188176957735,1.38E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:16:26 +0000 2025,0,@InfinityLevel99 Data spesifik jumlah IUP di Raja Ampat tahun 2000 tidak jelas namun pertambangan nikel nasional berkembang saat itu karena desentralisasi. Tambang dan deforestasi di Raja Ampat merusak lebih dari 500 hektar hutan dan terumbu karang. Pemerintah cabut empat dari lima IUP pada Juni,1.94E+18,,DarkMassacres,in,,0,0,0,https://x.com/undefined/status/1936080708755505411,1.72E+18,,rajaAmpat12.csv
